onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-21	0	1	baseline	0	0	0	0
30	180	sub-21	16	1	4B	4	bad	positive	Sami will go to the concert. 
210	30	sub-21	106	1	baseline	0	0	0	0
240	180	sub-21	121	1	2C	2	bad	negative	Sami failed to persuade Austin.
420	30	sub-21	211	1	baseline	0	0	0	0
450	180	sub-21	226	1	3A	3	good	negative	Belle’s daughter gets very sick. 
630	30	sub-21	316	1	baseline	0	0	0	0
660	180	sub-21	331	1	1A	1	good	positive	Belle’s daughter has survived. 
840	30	sub-21	421	1	baseline	0	0	0	0
870	180	sub-21	436	1	5A	5	random	random	Maggie – Random scenes 
1050	30	sub-21	526	1	baseline	0	0	0	0
