onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-30	0	3	baseline	0	0	0	0
30	180	sub-30	16	3	5C	5	random 	random	Becky – Random scenes
210	30	sub-30	106	3	baseline	0	0	0	0
240	180	sub-30	121	3	3C	3	good	negative	Jenny’s husband is dead. 
420	30	sub-30	211	3	baseline	0	0	0	0
450	180	sub-30	226	3	4A	4	bad	positive	Sami’s good luck. 
630	30	sub-30	316	3	baseline	0	0	0	0
660	180	sub-30	331	3	1B	1	good	positive	Austin got back Carrie. 
840	30	sub-30	421	3	baseline	0	0	0	0
870	180	sub-30	436	3	2C	2	bad	negative	Sami failed to persuade Austin.
1050	30	sub-30	526	3	baseline	0	0	0	0
