onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-16	0	2	baseline	0	0	0	0
30	180	sub-16	16	2	2C	2	bad	negative	Sami failed to persuade Austin.
210	30	sub-16	106	2	baseline	0	0	0	0
240	180	sub-16	121	2	5A	5	random	random	Maggie – Random scenes 
420	30	sub-16	211	2	baseline	0	0	0	0
450	180	sub-16	226	2	1A	1	good	positive	Belle’s daughter has survived. 
630	30	sub-16	316	2	baseline	0	0	0	0
660	180	sub-16	331	2	4A	4	bad	positive	Sami’s good luck. 
840	30	sub-16	421	2	baseline	0	0	0	0
870	180	sub-16	436	2	3A	3	good	negative	Belle’s daughter gets very sick. 
1050	30	sub-16	526	2	baseline	0	0	0	0
